tank,heat,fish,slope,.lower,.upper,.width,.point,.interval,model
1,heated,fish,0.3489976687720817,0.26093237161499905,0.4370114222385266,0.95,median,qi,metabolic scaling slopes
3,heated,no fish,0.4481837153941158,0.37809460092412317,0.5254729159485084,0.95,median,qi,metabolic scaling slopes
5,no heated,fish,0.4710144335672103,0.39357398110002123,0.5534949854724619,0.95,median,qi,metabolic scaling slopes
7,no heated,fish,0.45886321870827984,0.37618587894618855,0.5372446249404305,0.95,median,qi,metabolic scaling slopes
8,no heated,no fish,0.30788775757634235,0.2256730282284907,0.38636379291304424,0.95,median,qi,metabolic scaling slopes
10,heated,no fish,0.45402448646866456,0.3868583702942245,0.532320054560677,0.95,median,qi,metabolic scaling slopes
13,no heated,no fish,0.3100706781421526,0.22802513781331457,0.3885399036367188,0.95,median,qi,metabolic scaling slopes
15,heated,fish,0.34557131629470295,0.26050430335064356,0.431667647191326,0.95,median,qi,metabolic scaling slopes
17,heated,no fish,0.43939103636562615,0.36556612447238623,0.5075149255622649,0.95,median,qi,metabolic scaling slopes
18,heated,fish,0.3504013931077559,0.27572942994985483,0.42888524715998516,0.95,median,qi,metabolic scaling slopes
20,no heated,fish,0.4662452430019329,0.38785931988452976,0.543108016159313,0.95,median,qi,metabolic scaling slopes
22,no heated,no fish,0.31558941278758096,0.2431646484247913,0.38850593537819694,0.95,median,qi,metabolic scaling slopes
